CountyCode,CountyName,DistrictCode,DistrictName,Teachers/Admins,Female,Male,White,Hispanic,Black or African American,Asian,American Indian or Alaska Native,Native Hawaiian or Pacific Islander,Two or More Races,Year
03,BERGEN,3910,PALISADES PARK,Admins,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,2017-18
03,BERGEN,3910,PALISADES PARK,Teachers,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,2017-18
03,BERGEN,3930,PARAMUS BORO,Admins,53.8,46.2,92.3,3.8,3.8,0.0,0.0,0.0,0.0,2017-18
03,BERGEN,3930,PARAMUS BORO,Teachers,79.2,20.8,93.6,2.3,1.2,2.9,0.0,0.0,0.0,2017-18
03,BERGEN,3940,PARK RIDGE BORO,Admins,50.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
03,BERGEN,3940,PARK RIDGE BORO,Teachers,82.4,17.6,96.0,1.6,1.6,0.8,0.0,0.0,0.0,2017-18
03,BERGEN,3960,PASCACK VALLEY REGIONAL,Admins,47.6,52.4,90.5,4.8,0.0,4.8,0.0,0.0,0.0,2017-18
03,BERGEN,3960,PASCACK VALLEY REGIONAL,Teachers,59.6,40.4,92.1,5.6,0.6,1.7,0.0,0.0,0.0,2017-18
03,BERGEN,4300,RAMAPO-INDIAN HILL REG,Admins,50.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
03,BERGEN,4300,RAMAPO-INDIAN HILL REG,Teachers,64.3,35.7,96.4,2.3,0.5,0.9,0.0,0.0,0.0,2017-18
03,BERGEN,4310,RAMSEY BORO,Admins,35.0,65.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
03,BERGEN,4310,RAMSEY BORO,Teachers,76.4,23.6,97.7,1.5,0.0,0.4,0.4,0.0,0.0,2017-18
03,BERGEN,4370,RIDGEFIELD BORO,Admins,53.3,46.7,66.7,6.7,13.3,13.3,0.0,0.0,0.0,2017-18
03,BERGEN,4370,RIDGEFIELD BORO,Teachers,74.2,25.8,89.0,5.5,1.2,4.3,0.0,0.0,0.0,2017-18
03,BERGEN,4380,RIDGEFIELD PARK TWP,Admins,33.3,66.7,93.3,6.7,0.0,0.0,0.0,0.0,0.0,2017-18
03,BERGEN,4380,RIDGEFIELD PARK TWP,Teachers,70.3,29.7,91.3,5.8,0.6,1.2,1.2,0.0,0.0,2017-18
03,BERGEN,4390,RIDGEWOOD VILLAGE,Admins,54.8,45.2,87.1,3.2,6.5,3.2,0.0,0.0,0.0,2017-18
03,BERGEN,4390,RIDGEWOOD VILLAGE,Teachers,75.6,24.4,94.9,2.1,1.1,1.8,0.0,0.0,0.0,2017-18
03,BERGEN,4405,RIVER DELL REGIONAL,Admins,38.5,61.5,92.3,0.0,7.7,0.0,0.0,0.0,0.0,2017-18
03,BERGEN,4405,RIVER DELL REGIONAL,Teachers,68.4,31.6,93.4,2.2,0.7,3.7,0.0,0.0,0.0,2017-18
03,BERGEN,4410,RIVER EDGE BORO,Admins,90.0,10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
03,BERGEN,4410,RIVER EDGE BORO,Teachers,91.0,9.0,94.0,2.0,0.0,4.0,0.0,0.0,0.0,2017-18
03,BERGEN,4430,RIVER VALE TWP,Admins,50.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
03,BERGEN,4430,RIVER VALE TWP,Teachers,79.8,20.2,96.0,3.0,0.0,1.0,0.0,0.0,0.0,2017-18
03,BERGEN,4470,ROCHELLE PARK TWP,Admins,33.3,66.7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
03,BERGEN,4470,ROCHELLE PARK TWP,Teachers,85.1,14.9,91.5,6.4,0.0,2.1,0.0,0.0,0.0,2017-18
03,BERGEN,4600,RUTHERFORD BORO,Admins,47.4,52.6,89.5,5.3,5.3,0.0,0.0,0.0,0.0,2017-18
03,BERGEN,4600,RUTHERFORD BORO,Teachers,75.7,24.3,88.8,6.1,2.3,2.8,0.0,0.0,0.0,2017-18
03,BERGEN,4610,SADDLE BROOK TWP,Admins,50.0,50.0,91.7,8.3,0.0,0.0,0.0,0.0,0.0,2017-18
03,BERGEN,4610,SADDLE BROOK TWP,Teachers,78.2,21.8,93.2,4.1,1.4,1.4,0.0,0.0,0.0,2017-18
03,BERGEN,4620,SADDLE RIVER BORO,Admins,25.0,75.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
03,BERGEN,4620,SADDLE RIVER BORO,Teachers,84.2,15.8,94.7,0.0,0.0,5.3,0.0,0.0,0.0,2017-18
03,BERGEN,4845,SOUTH BERGEN JOINTURE COM,Admins,66.7,33.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
